RE,MW,Norm,Smooth,Derivative,Calibration,MeanRSQ,MeanRMSE
 0 , 1 , 3 , 1 , 2 , 1 , 2.0682279347685E-03 , 0.112856698202672 
 0 , 1 , 3 , 1 , 2 , 3 , 2.4130584093579E-03 , 0.126813677763605 
 1 , 0 , 0 , 0 , 0 , 1 , 8.01883970222485E-02 , 0.137415364840015 
 1 , 0 , 0 , 0 , 0 , 3 , 0.208115129302475 , 0.162225358129104 
 1 , 0 , 0 , 0 , 1 , 1 , 1.79960123061125E-02 , 0.113600629427165 
 1 , 0 , 0 , 0 , 1 , 3 , 0.275313053731248 , 0.112604846783768 
 1 , 0 , 0 , 0 , 2 , 1 , 5.36293500333025E-03 , 0.12286793349035 
 1 , 0 , 0 , 0 , 2 , 3 , 6.79363290885767E-02 , 0.142730575971696 
 1 , 0 , 0 , 1 , 0 , 1 , 0.124184391546834 , 0.108513086765971 
 1 , 0 , 0 , 1 , 0 , 3 , 8.64251641135436E-02 , 0.145699716953336 
 1 , 0 , 0 , 1 , 1 , 1 , 9.04925650433344E-02 , 0.121538901840003 
 1 , 0 , 0 , 1 , 1 , 3 , 5.30650699170992E-02 , 0.123334574272146 
 1 , 0 , 0 , 1 , 2 , 1 , 9.48321444705913E-02 , 0.105391066881739 
 1 , 0 , 0 , 1 , 2 , 3 , 6.67873835452396E-02 , 9.47123954880222E-02 
 1 , 0 , 1 , 0 , 0 , 1 , 1.24386216614423E-03 , 0.127176573622492 
 1 , 0 , 1 , 0 , 0 , 3 , 2.16241629119755E-03 , 0.796577625222369 
 1 , 0 , 1 , 0 , 1 , 1 , 0.100034755527137 , 0.127321025820122 
 1 , 0 , 1 , 0 , 1 , 3 , 5.72310601522897E-02 , 0.134522340952052 
 1 , 0 , 1 , 0 , 2 , 1 , 0.235737108271948 , 0.116334002669553 
 1 , 0 , 1 , 0 , 2 , 3 , 1.05282633748661E-02 , 0.122763701695992 
 1 , 0 , 1 , 1 , 0 , 1 , 8.03930882443494E-03 , 9.53103937366183E-02 
 1 , 0 , 1 , 1 , 0 , 3 , 0.172795612080318 , 0.378126751058842 
 1 , 0 , 1 , 1 , 1 , 1 , 4.22082141418694E-02 , 0.130578484940993 
 1 , 0 , 1 , 1 , 1 , 3 , 0.144739137337858 , 0.111018909732579 
 1 , 0 , 1 , 1 , 2 , 1 , 0.129840527308585 , 0.112706091912749 
 1 , 0 , 1 , 1 , 2 , 3 , 1.32227691378525E-03 , 0.124795682564547 
 1 , 0 , 2 , 0 , 0 , 1 , 1.38685030091159E-02 , 0.138682652341945 
 1 , 0 , 2 , 0 , 0 , 3 , 0.196105740330199 , 0.111539806065746 
 1 , 0 , 2 , 0 , 1 , 1 , 9.60563622003638E-04 , 0.139903523904271 
 1 , 0 , 2 , 0 , 1 , 3 , 7.89239100173853E-02 , 0.132201486074069 
 1 , 0 , 2 , 0 , 2 , 1 , 6.16209558882592E-02 , 0.121138739780319 
 1 , 0 , 2 , 0 , 2 , 3 , 1.83505122832273E-03 , 0.135813406025871 
 1 , 0 , 2 , 1 , 0 , 1 , 1.69258371336421E-06 , 0.119008021900044 
 1 , 0 , 2 , 1 , 0 , 3 , 3.3478235777707E-03 , 0.130301551135638 
 1 , 0 , 2 , 1 , 1 , 1 , 9.66855147554337E-02 , 0.121347278408118 
 1 , 0 , 2 , 1 , 1 , 3 , 1.12351393748252E-02 , 8.50161934809324E-02 
 1 , 0 , 2 , 1 , 2 , 1 , 2.28653314391425E-02 , 0.106632204017957 
 1 , 0 , 2 , 1 , 2 , 3 , 5.07913305057364E-02 , 0.135588458395786 
 1 , 0 , 3 , 0 , 0 , 1 , 6.57068626598294E-02 , 0.113511319191833 
 1 , 0 , 3 , 0 , 0 , 3 , 0.081279074299662 , 0.133846488654794 
 1 , 0 , 3 , 0 , 1 , 1 , 2.67120238656565E-02 , 0.130790481149739 
 1 , 0 , 3 , 0 , 1 , 3 , 8.01203232049545E-04 , 0.128802224723198 
 1 , 0 , 3 , 0 , 2 , 1 , 3.47555156041642E-05 , 0.154701461095993 
 1 , 0 , 3 , 0 , 2 , 3 , 6.92395615619593E-02 , 0.145405444380583 
 1 , 0 , 3 , 1 , 0 , 1 , 0.1031069590584 , 0.118910004636896 
 1 , 0 , 3 , 1 , 0 , 3 , 2.39684670854308E-02 , 8.89258446384215E-02 
 1 , 0 , 3 , 1 , 1 , 1 , 0.035132221378951 , 0.112588456174898 
